iter,ms-ssim1,ms-ssim2,fsim1,fsim2,perceptual1,perceptual2
0,0.5606192,0.56859577,0.3503176,0.34349418,3.2061398,3.389897
10,0.398291,0.41534698,0.23577303,0.25870258,2.058036,2.2512572
20,0.37044764,0.4006003,0.22801065,0.26175427,1.6176163,1.8643546
30,0.34093302,0.37518477,0.21226639,0.24941218,1.3549442,1.6044505
40,0.28900588,0.35439825,0.1904152,0.24698132,1.2266659,1.5070574
50,0.28251958,0.35176706,0.1887964,0.24633032,1.1131768,1.4153105
60,0.26464158,0.33560288,0.18072128,0.23716772,1.0538118,1.3482214
70,0.23893571,0.3211282,0.16585547,0.22906584,0.9955205,1.306368
80,0.2294057,0.31926024,0.15741467,0.22812319,0.9623028,1.2639053
90,0.22232437,0.3107202,0.15176404,0.22598058,0.92016923,1.2349681
100,0.21948004,0.3021561,0.15676886,0.22568011,0.92791635,1.2364737
110,0.21434408,0.3002404,0.15643209,0.22632146,0.8820077,1.20243
120,0.21164477,0.2932949,0.15022564,0.21847016,0.86090416,1.1834364
130,0.20981944,0.30096245,0.14788783,0.22239017,0.88731784,1.2085649
140,0.21775281,0.30608618,0.15978539,0.2357058,0.87960434,1.2074459
150,0.22177374,0.30822188,0.15999842,0.23735714,0.88392395,1.2117169
159,0.22182167,0.30814588,0.16308516,0.2409361,0.90620327,1.228234
160,0.22244668,0.31592786,0.16431302,0.24408877,0.88866407,1.2281702
