iter,ms-ssim1,ms-ssim2,fsim1,fsim2,perceptual1,perceptual2
0,0.56595284,0.56964046,0.34998262,0.3435058,3.3334897,3.5207038
10,0.42150402,0.42619568,0.2505721,0.26162833,1.8729477,2.063941
20,0.35295606,0.38010925,0.22098655,0.24643755,1.3810687,1.6112885
30,0.3182546,0.37402892,0.21084511,0.25588793,1.2476217,1.5163974
40,0.28839827,0.35347617,0.1990726,0.25065893,1.1239169,1.4085613
50,0.28730774,0.33230454,0.20244342,0.24469078,1.1096718,1.3728952
60,0.25642288,0.32198244,0.18579179,0.23164463,1.0421271,1.3238745
70,0.25265527,0.31940627,0.18266284,0.23446047,1.0152788,1.3079325
80,0.24574792,0.30670458,0.17795688,0.22889757,1.0064386,1.2908175
90,0.22948247,0.31565404,0.17069876,0.23610938,0.96908826,1.2674556
100,0.21511346,0.31338453,0.1582483,0.2322551,0.9379567,1.2500507
110,0.22091675,0.30323106,0.16438586,0.23051208,0.9317661,1.2314905
120,0.20916611,0.30144596,0.15394026,0.22465867,0.895607,1.2057457
130,0.20694262,0.2978196,0.15576082,0.22310984,0.88362885,1.1976151
140,0.20968229,0.29698205,0.15727323,0.22352791,0.886799,1.2035124
150,0.2051261,0.2982443,0.15379399,0.22638363,0.8696409,1.1954141
159,0.21242529,0.2970221,0.15805632,0.22776616,0.88689876,1.1993564
160,0.21039426,0.29536986,0.15786082,0.22163314,0.8780963,1.185065
