iter,loss,mssim,fsim,perceptual,identity,identity diff
0,4.0871196,0.5646075,0.3469059,3.2980185,0.29079595,0.5815919
10,1.538898,0.406819,0.2472378,2.1546466,0.09247783,0.18495566
20,1.1145599,0.38552397,0.24488246,1.7409854,0.058552295,0.11710459
30,0.9577772,0.3580589,0.23083928,1.4796973,0.04779312,0.09558624
40,0.8661092,0.32170206,0.21869826,1.3668616,0.04293418,0.08586836
50,0.8281028,0.31714332,0.21756336,1.2642436,0.040100902,0.080201805
60,0.7831153,0.30012223,0.2089445,1.2010167,0.037775934,0.07555187
70,0.7357994,0.28003195,0.19746065,1.1509442,0.03556791,0.07113582
80,0.7133574,0.27433297,0.19276893,1.1131041,0.03425005,0.0685001
90,0.6972624,0.2665223,0.18887231,1.0775687,0.03355992,0.06711984
100,0.6840293,0.26081806,0.19122449,1.082195,0.03271559,0.06543118
110,0.671923,0.25729224,0.19137678,1.0422189,0.031921417,0.06384283
120,0.6585078,0.25246984,0.1843479,1.0221703,0.031398088,0.062796175
130,0.65665936,0.25539094,0.185139,1.0479413,0.031028092,0.062056184
140,0.67107654,0.2619195,0.19774559,1.0435251,0.031296283,0.062592566
150,0.6757666,0.2649978,0.19867778,1.0478204,0.031455815,0.06291163
159,0.6774986,0.26498377,0.20201063,1.0672187,0.031461835,0.06292367
160,0.68172026,0.26918727,0.2042009,1.0584171,0.03145981,0.06291962
