iter,ms-ssim1,ms-ssim2,fsim1,fsim2,perceptual1,perceptual2
0,0.5725008,0.58653,0.36049998,0.35691065,3.2663841,3.4571388
10,0.48313916,0.51345366,0.2890979,0.31829917,2.102743,2.34307
20,0.42317164,0.43324113,0.2496854,0.27561402,1.6481478,1.8618009
30,0.37941843,0.39696348,0.22247595,0.24804449,1.2896049,1.5162299
40,0.31896222,0.3800584,0.19275737,0.24673331,1.1246626,1.4025958
50,0.30071527,0.3738857,0.19007063,0.25438297,1.0144461,1.315044
60,0.26086932,0.35567248,0.17700458,0.24301672,0.9963216,1.3119767
70,0.23466933,0.348893,0.17175949,0.24037588,0.9375783,1.2690225
80,0.21601301,0.3301342,0.15791392,0.22991717,0.87807906,1.2116399
90,0.21340227,0.32984364,0.15985239,0.23636067,0.9056015,1.2316759
100,0.19850308,0.31955147,0.14786929,0.22894341,0.85661376,1.2034934
110,0.19409502,0.32140046,0.14884204,0.23435026,0.8631037,1.2176113
120,0.19379282,0.3127182,0.14805317,0.22421354,0.8583362,1.2029362
130,0.19046319,0.3140412,0.14226264,0.22636217,0.8412637,1.1994363
140,0.18973905,0.31148386,0.14221275,0.22588474,0.81680965,1.1776185
150,0.18824542,0.3117612,0.14316756,0.22926557,0.8185912,1.1804563
159,0.18628931,0.30894315,0.14168257,0.22593558,0.8132231,1.1662567
160,0.18663633,0.3027469,0.14242768,0.22202384,0.8012926,1.1560065
