iter,ms-ssim1,ms-ssim2,fsim1,fsim2,perceptual1,perceptual2
0,0.5816493,0.5859501,0.36435324,0.35404396,3.1079333,3.2928681
10,0.42032123,0.4438476,0.25023556,0.28049684,2.0723765,2.2890296
20,0.368322,0.4008885,0.22843724,0.25962698,1.5186913,1.7784848
30,0.3095801,0.36723536,0.20328999,0.24589866,1.298189,1.5442728
40,0.27235532,0.35392594,0.18985564,0.2505356,1.105828,1.4000478
50,0.23788244,0.3288601,0.17491913,0.23633951,1.0017285,1.3084636
60,0.21915537,0.3221634,0.16425496,0.23314422,0.9669677,1.2790675
70,0.209548,0.3093124,0.15904593,0.22918802,0.920275,1.2339388
80,0.19828206,0.3141492,0.14898866,0.23082298,0.8855394,1.2096095
90,0.19471395,0.31676233,0.14778233,0.2344892,0.8563722,1.2049417
100,0.18793392,0.30662137,0.14614928,0.22601324,0.84999704,1.1959629
110,0.18700606,0.30470812,0.14307886,0.22897708,0.8238354,1.1760694
120,0.1881975,0.29708385,0.13809156,0.22135228,0.8125943,1.1612537
130,0.18346274,0.30214858,0.13982743,0.22450656,0.8044205,1.1610643
140,0.18670857,0.29777026,0.14022136,0.22237998,0.81017995,1.154593
150,0.17996347,0.30076462,0.13970006,0.22642452,0.81699383,1.1775844
159,0.17613518,0.2989794,0.13125205,0.22055691,0.7949791,1.153744
160,0.18055087,0.30453563,0.14125168,0.23069656,0.8012179,1.1623546
