iter,loss,mssim,fsim,perceptual,identity,identity diff
0,4.190328,0.5837997,0.3591986,3.2004008,0.30516988,0.61033976
10,1.5152574,0.4320844,0.2653662,2.1807032,0.09370136,0.18740273
20,0.9714383,0.38460526,0.24403211,1.6485881,0.051803887,0.103607774
30,0.754843,0.33840773,0.22459432,1.4212309,0.037050366,0.07410073
40,0.6401779,0.31314063,0.22019562,1.2529379,0.029168576,0.058337152
50,0.5565801,0.28337127,0.20562932,1.155096,0.02436778,0.04873556
60,0.5126045,0.2706594,0.1986996,1.1230175,0.021642536,0.04328507
70,0.48296806,0.2594302,0.19411698,1.077107,0.019970894,0.039941788
80,0.46677867,0.25621563,0.18990582,1.0475745,0.018910915,0.03782183
90,0.4599601,0.25573814,0.19113576,1.0306569,0.018347204,0.036694407
100,0.44715363,0.24727765,0.18608126,1.02298,0.017914206,0.03582841
110,0.4418556,0.24585709,0.18602797,0.9999524,0.017562985,0.03512597
120,0.43431008,0.24264067,0.17972192,0.986924,0.01726681,0.03453362
130,0.43198583,0.24280566,0.182167,0.98274237,0.01701194,0.03402388
140,0.42870018,0.24223942,0.18130067,0.98238647,0.016791582,0.033583164
150,0.4257858,0.24036404,0.18306229,0.9972891,0.01662898,0.03325796
159,0.41980106,0.23755729,0.17590448,0.97436154,0.016455173,0.032910347
160,0.4259017,0.24254325,0.18597412,0.98178625,0.01644203,0.03288406
