iter,loss,mssim,fsim,perceptual,identity,identity diff
0,3.9638038,0.57951546,0.3587053,3.3617616,0.28932834,0.5786567
10,1.4982147,0.4982964,0.30369854,2.2229066,0.08977607,0.17955214
20,0.99410903,0.42820638,0.26264971,1.7549744,0.05264786,0.10529572
30,0.78100955,0.38819095,0.23526022,1.4029174,0.037809193,0.075618386
40,0.66682816,0.3495103,0.21974534,1.2636292,0.030747592,0.061495185
50,0.6112487,0.33730048,0.2222268,1.1647451,0.026645392,0.053290784
60,0.56106025,0.3082709,0.21001065,1.1541492,0.024321884,0.048643768
70,0.5307578,0.29178116,0.20606768,1.1033003,0.022753447,0.045506895
80,0.49989784,0.2730736,0.19391555,1.0448594,0.021523207,0.043046415
90,0.49221137,0.27162296,0.19810653,1.0686387,0.020815104,0.04163021
100,0.47508776,0.25902727,0.18840635,1.0300536,0.020341903,0.040683806
110,0.47060195,0.25774774,0.19159615,1.0403575,0.019925565,0.03985113
120,0.46133074,0.25325552,0.18613335,1.0306362,0.01955983,0.03911966
130,0.45693594,0.2522522,0.1843124,1.02035,0.019304633,0.038609266
140,0.4533466,0.25061145,0.18404874,0.9972141,0.019096732,0.038193464
150,0.45169568,0.2500033,0.18621656,0.99952376,0.018917263,0.037834525
159,0.4476677,0.24761623,0.18380907,0.9897399,0.018781364,0.037562728
160,0.44511285,0.24469161,0.18222576,0.9786495,0.018767655,0.03753531
